common_id	label	type	code0	code1	code2	code3	name0	name1	name2	name3	type_label
48	アジスロマイシン水和物	drug	1	13	131	1317	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	眼科用抗生物質製剤；オキシテトラサイクリン眼軟膏剤	【drug】 アジスロマイシン水和物
49	アンフェナクナトリウム水和物	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 アンフェナクナトリウム水和物
50	アズレンスルホン酸ナトリウム水和物	drug	2	23	232	2323	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	アズレン製剤	【drug】 アズレンスルホン酸ナトリウム水和物
50	アズレンスルホン酸ナトリウム水和物	drug	2	22	226	2260	個々の器官系用医薬品	呼吸器官用薬	含嗽剤	nan	【drug】 アズレンスルホン酸ナトリウム水和物
50	アズレンスルホン酸ナトリウム水和物	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 アズレンスルホン酸ナトリウム水和物
51	リドカイン塩酸塩	drug	1	12	121	1214	神経系及び感覚器官用医薬品	末梢神経系用薬	局所麻酔剤	キシリジン系製剤	【drug】 リドカイン塩酸塩
51	リドカイン塩酸塩	drug	2	21	212	2129	個々の器官系用医薬品	循環器官用薬	不整脈用剤	その他の不整脈用剤	【drug】 リドカイン塩酸塩
52	イオプロミド	drug	7	72	721	7219	治療を主目的としない医薬品	診断用薬（体外診断用医薬品を除く。）	Ｘ線造影剤	その他のＸ線造影剤	【drug】 イオプロミド
53	シスプラチン	drug	4	42	429	4291	組織細胞機能用医薬品	腫瘍用薬	その他の腫瘍用薬	その他の抗悪性腫瘍用剤	【drug】 シスプラチン
54	パクリタキセル	drug	4	42	424	4240	組織細胞機能用医薬品	腫瘍用薬	抗腫瘍性植物成分製剤	nan	【drug】 パクリタキセル
55	ヘパリンナトリウム	drug	3	33	333	3334	代謝性医薬品	血液・体液用薬	血液凝固阻止剤	ヘパリン製剤	【drug】 ヘパリンナトリウム
56	クラリスロマイシン	drug	6	61	614	6149	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性菌，マイコプラズマに作用するもの	その他の主としてグラム陽性菌，マイコプラズマに作用するもの	【drug】 クラリスロマイシン
57	テオフィリン	drug	2	22	225	2251	個々の器官系用医薬品	呼吸器官用薬	気管支拡張剤	キサンチン系製剤	【drug】 テオフィリン
58	シプロヘプタジン塩酸塩水和物	drug	4	44	441	4419	組織細胞機能用医薬品	アレルギー用薬	抗ヒスタミン剤	その他の抗ヒスタミン剤	【drug】 シプロヘプタジン塩酸塩水和物
59	チペピジンヒベンズ酸塩	drug	2	22	224	2249	個々の器官系用医薬品	呼吸器官用薬	鎮咳去たん剤	その他の鎮咳去たん剤	【drug】 チペピジンヒベンズ酸塩
60	プロカテロール塩酸塩水和物	drug	2	22	225	2259	個々の器官系用医薬品	呼吸器官用薬	気管支拡張剤	その他の気管支拡張剤	【drug】 プロカテロール塩酸塩水和物
61	アンブロキソール塩酸塩	drug	2	22	223	2239	個々の器官系用医薬品	呼吸器官用薬	去たん剤	その他の去たん剤	【drug】 アンブロキソール塩酸塩
62	炭酸リチウム	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 炭酸リチウム
63	フルボキサミンマレイン酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 フルボキサミンマレイン酸塩
64	クロキサゾラム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 クロキサゾラム
65	酸化マグネシウム	drug	2	23	234	2344	個々の器官系用医薬品	消化器官用薬	制酸剤	無機塩製剤；炭酸水素ナトリウム等	【drug】 酸化マグネシウム
66	モサプリドクエン酸塩水和物	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 モサプリドクエン酸塩水和物
67	ミルナシプラン塩酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 ミルナシプラン塩酸塩
68	ミアンセリン塩酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 ミアンセリン塩酸塩
69	フルニトラゼパム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 フルニトラゼパム
70	タクロリムス水和物	drug	3	39	399	3999	代謝性医薬品	その他の代謝性医薬品	他に分類されない代謝性医薬品	他に分類されないその他の代謝性医薬品	【drug】 タクロリムス水和物
70	タクロリムス水和物	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 タクロリムス水和物
70	タクロリムス水和物	drug	2	26	269	2699	個々の器官系用医薬品	外皮用薬	その他の外皮用薬	他に分類されない外皮用薬	【drug】 タクロリムス水和物
71	ベタメタゾン酪酸エステルプロピオン酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 ベタメタゾン酪酸エステルプロピオン酸エステル
72	プレドニゾロン吉草酸エステル酢酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 プレドニゾロン吉草酸エステル酢酸エステル
73	ベタメタゾン吉草酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 ベタメタゾン吉草酸エステル
74	ヘパリン類似物質	drug	2	26	264	2649	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	その他の鎮痛，鎮痒，収斂，消炎剤	【drug】 ヘパリン類似物質
74	ヘパリン類似物質	drug	3	33	333	3339	代謝性医薬品	血液・体液用薬	血液凝固阻止剤	その他の血液凝固阻止剤	【drug】 ヘパリン類似物質
75	クロベタゾールプロピオン酸エステル	drug	2	26	264	2646	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	副腎皮質ホルモン製剤	【drug】 クロベタゾールプロピオン酸エステル
76	白色ワセリン	drug	7	71	712	7121	治療を主目的としない医薬品	調剤用薬	軟膏基剤	油脂性基剤；ワセリン，パラフィン等	【drug】 白色ワセリン
77	セチリジン塩酸塩	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 セチリジン塩酸塩
78	イブプロフェンピコノール	drug	2	26	264	2649	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	その他の鎮痛，鎮痒，収斂，消炎剤	【drug】 イブプロフェンピコノール
79	ジフェンヒドラミン	drug	2	26	264	2642	個々の器官系用医薬品	外皮用薬	鎮痛，鎮痒，収斂，消炎剤	外用抗ヒスタミン製剤	【drug】 ジフェンヒドラミン
80	エバスチン	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 エバスチン
81	ヒドロキシジンパモ酸塩	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 ヒドロキシジンパモ酸塩
82	ロラタジン	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 ロラタジン
83	エピナスチン塩酸塩	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 エピナスチン塩酸塩
83	エピナスチン塩酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 エピナスチン塩酸塩
84	ベタメタゾン	drug	2	24	245	2454	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	フッ素付加副腎皮質ホルモン製剤	【drug】 ベタメタゾン
85	肝臓疾患用剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 肝臓疾患用剤
86	ビタミンＣ剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 ビタミンＣ剤
87	レバミピド	drug	2	23	232	2329	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	その他の消化性潰瘍用剤	【drug】 レバミピド
87	レバミピド	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 レバミピド
88	セファゾリンナトリウム	drug	6	61	613	6132	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	セフェム系抗生物質製剤	【drug】 セファゾリンナトリウム
89	ブプレノルフィン塩酸塩	drug	1	11	114	1149	神経系及び感覚器官用医薬品	中枢神経系用薬	解熱鎮痛消炎剤	その他の解熱鎮痛消炎剤	【drug】 ブプレノルフィン塩酸塩
90	アシクロビル	drug	6	62	625	6250	病原生物に対する医薬品	化学療法剤	抗ウイルス剤	nan	【drug】 アシクロビル
90	アシクロビル	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 アシクロビル
91	シメチジン	drug	2	23	232	2325	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	Ｈ２遮断剤	【drug】 シメチジン
92	沈降炭酸カルシウム	drug	2	21	219	2190	個々の器官系用医薬品	循環器官用薬	その他の循環器官用薬	nan	【drug】 沈降炭酸カルシウム
92	沈降炭酸カルシウム	drug	2	23	234	2344	個々の器官系用医薬品	消化器官用薬	制酸剤	無機塩製剤；炭酸水素ナトリウム等	【drug】 沈降炭酸カルシウム
93	バルサルタン	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 バルサルタン
94	サルポグレラート塩酸塩	drug	3	33	339	3399	代謝性医薬品	血液・体液用薬	その他の血液・体液用薬	他に分類されない血液・体液用薬	【drug】 サルポグレラート塩酸塩
95	カルシトリオール	drug	3	31	311	3112	代謝性医薬品	ビタミン剤	ビタミンＡ及びＤ剤	合成ビタミンＤ製剤	【drug】 カルシトリオール
96	ポリスチレンスルホン酸カルシウム	drug	2	21	219	2190	個々の器官系用医薬品	循環器官用薬	その他の循環器官用薬	nan	【drug】 ポリスチレンスルホン酸カルシウム
97	セフジニル	drug	6	61	613	6132	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	セフェム系抗生物質製剤	【drug】 セフジニル
98	止しゃ剤，整腸剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 止しゃ剤，整腸剤
99	セフカペン　ピボキシル塩酸塩水和物	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 セフカペン　ピボキシル塩酸塩水和物
100	Ｌ－カルボシステイン	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 Ｌ－カルボシステイン
101	ドンペリドン	drug	2	23	239	2399	個々の器官系用医薬品	消化器官用薬	その他の消化器官用薬	他に分類されない消化器官用薬	【drug】 ドンペリドン
102	スルピリド	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 スルピリド
102	スルピリド	drug	2	23	232	2329	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	その他の消化性潰瘍用剤	【drug】 スルピリド
103	ロフラゼプ酸エチル	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 ロフラゼプ酸エチル
104	エチゾラム	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 エチゾラム
105	バクロフェン	drug	1	12	124	1249	神経系及び感覚器官用医薬品	末梢神経系用薬	鎮けい剤	その他の鎮けい剤	【drug】 バクロフェン
106	アフロクアロン	drug	1	12	124	1249	神経系及び感覚器官用医薬品	末梢神経系用薬	鎮けい剤	その他の鎮けい剤	【drug】 アフロクアロン
107	メコバラミン	drug	3	31	313	3136	代謝性医薬品	ビタミン剤	ビタミンＢ剤（ビタミンＢ１剤を除く。）	ビタミンＢ１２剤	【drug】 メコバラミン
108	クロチアゼパム	drug	1	11	117	1179	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	その他の精神神経用剤	【drug】 クロチアゼパム
109	プロプラノロール塩酸塩	drug	2	21	212	2123	個々の器官系用医薬品	循環器官用薬	不整脈用剤	β－遮断剤	【drug】 プロプラノロール塩酸塩
109	プロプラノロール塩酸塩	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 プロプラノロール塩酸塩
109	プロプラノロール塩酸塩	drug	2	29	290	2900	個々の器官系用医薬品	その他の個々の器官系用医薬品	nan	nan	【drug】 プロプラノロール塩酸塩
110	メチルプレドニゾロンコハク酸エステルナトリウム	drug	2	24	245	2456	個々の器官系用医薬品	ホルモン剤（抗ホルモン剤を含む。）	副腎ホルモン剤	プレドニゾロン系製剤	【drug】 メチルプレドニゾロンコハク酸エステルナトリウム
111	アルプラゾラム	drug	1	11	112	1124	神経系及び感覚器官用医薬品	中枢神経系用薬	催眠鎮静剤，抗不安剤	ベンゾジアゼピン系製剤	【drug】 アルプラゾラム
112	アモキシシリン水和物	drug	6	61	613	6131	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	ペニシリン系抗生物質製剤；合成ペニシリン	【drug】 アモキシシリン水和物
113	モンテルカストナトリウム	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 モンテルカストナトリウム
114	ロサルタンカリウム	drug	2	21	214	2149	個々の器官系用医薬品	循環器官用薬	血圧降下剤	その他の血圧降下剤	【drug】 ロサルタンカリウム
115	グリメピリド	drug	3	39	396	3961	代謝性医薬品	その他の代謝性医薬品	糖尿病用剤	スルフォニル尿素系製剤	【drug】 グリメピリド
116	チモロールマレイン酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 チモロールマレイン酸塩
117	ケトチフェンフマル酸塩	drug	4	44	449	4490	組織細胞機能用医薬品	アレルギー用薬	その他のアレルギー用薬	nan	【drug】 ケトチフェンフマル酸塩
117	ケトチフェンフマル酸塩	drug	1	13	131	1319	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	その他の眼科用剤	【drug】 ケトチフェンフマル酸塩
117	ケトチフェンフマル酸塩	drug	1	13	132	1329	神経系及び感覚器官用医薬品	感覚器官用薬	耳鼻科用剤	その他の耳鼻科用剤	【drug】 ケトチフェンフマル酸塩
118	フルオロメトロン	drug	1	13	131	1315	神経系及び感覚器官用医薬品	感覚器官用薬	眼科用剤	眼科用コルチゾン製剤；コルチゾン点眼液及び眼軟膏剤	【drug】 フルオロメトロン
119	イミペネム水和物・シラスタチンナトリウム	drug	6	61	613	6139	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	その他の主としてグラム陽性・陰性菌に作用するもの	【drug】 イミペネム水和物・シラスタチンナトリウム
120	ミカファンギンナトリウム	drug	6	61	617	6179	病原生物に対する医薬品	抗生物質製剤	主としてカビに作用するもの	その他の主としてカビに作用するもの	【drug】 ミカファンギンナトリウム
121	フィルグラスチム（遺伝子組換え）	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 フィルグラスチム（遺伝子組換え）
122	ミノサイクリン塩酸塩	drug	6	61	615	6152	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌，リケッチア，クラミジアに作用するもの	テトラサイクリン系抗生物質製剤	【drug】 ミノサイクリン塩酸塩
122	ミノサイクリン塩酸塩	drug	2	27	276	2760	個々の器官系用医薬品	歯科口腔用薬	歯科用抗生物質製剤	nan	【drug】 ミノサイクリン塩酸塩
123	セフタジジム水和物	drug	6	61	613	6132	病原生物に対する医薬品	抗生物質製剤	主としてグラム陽性・陰性菌に作用するもの	セフェム系抗生物質製剤	【drug】 セフタジジム水和物
124	ドパミン塩酸塩	drug	2	21	211	2119	個々の器官系用医薬品	循環器官用薬	強心剤	その他の強心剤	【drug】 ドパミン塩酸塩
125	ドブタミン塩酸塩	drug	2	21	211	2119	個々の器官系用医薬品	循環器官用薬	強心剤	その他の強心剤	【drug】 ドブタミン塩酸塩
126	イオメプロール	drug	7	72	721	7219	治療を主目的としない医薬品	診断用薬（体外診断用医薬品を除く。）	Ｘ線造影剤	その他のＸ線造影剤	【drug】 イオメプロール
127	グリチルリチン酸一アンモニウム・グリシン・Ｌ－システイン配合剤	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 グリチルリチン酸一アンモニウム・グリシン・Ｌ－システイン配合剤
128	アゾセミド	drug	2	21	213	2139	個々の器官系用医薬品	循環器官用薬	利尿剤	その他の利尿剤	【drug】 アゾセミド
129	イミダプリル塩酸塩	drug	2	21	214	2144	個々の器官系用医薬品	循環器官用薬	血圧降下剤	アンジオテンシン変換酵素阻害剤	【drug】 イミダプリル塩酸塩
130	リマプロスト　アルファデクス	drug	nan	nan	nan	nan	nan	nan	nan	nan	【drug】 リマプロスト　アルファデクス
131	トリクロルメチアジド	drug	2	21	213	2132	個々の器官系用医薬品	循環器官用薬	利尿剤	チアジド系製剤	【drug】 トリクロルメチアジド
132	ランソプラゾール	drug	2	23	232	2329	個々の器官系用医薬品	消化器官用薬	消化性潰瘍用剤	その他の消化性潰瘍用剤	【drug】 ランソプラゾール
133	プロメタジン塩酸塩	drug	4	44	441	4413	組織細胞機能用医薬品	アレルギー用薬	抗ヒスタミン剤	フェノチアジン系製剤	【drug】 プロメタジン塩酸塩
134	パンテチン	drug	3	31	313	3133	代謝性医薬品	ビタミン剤	ビタミンＢ剤（ビタミンＢ１剤を除く。）	パントテン酸系製剤	【drug】 パンテチン
135	イミプラミン塩酸塩	drug	1	11	117	1174	神経系及び感覚器官用医薬品	中枢神経系用薬	精神神経用剤	イミプラミン系製剤	【drug】 イミプラミン塩酸塩
